a,p,q,f,l,T,m,M
3800412150,87809.24000000,0.00020000,5723748643,5723748643,1767229200709,False,True
3800412151,87809.24000000,0.00114000,5723748644,5723748644,1767229201083,False,True
3800412152,87809.23000000,0.00135000,5723748645,5723748645,1767229201477,True,True
3800412153,87809.23000000,0.01086000,5723748646,5723748646,1767229201500,True,True
3800412154,87809.23000000,0.00443000,5723748647,5723748647,1767229201500,True,True
3800412155,87809.24000000,0.00139000,5723748648,5723748648,1767229201852,False,True
3800412156,87809.24000000,0.00027000,5723748649,5723748649,1767229202030,False,True
3800412157,87809.23000000,0.00049000,5723748650,5723748650,1767229202394,True,True
3800412158,87809.23000000,0.00229000,5723748651,5723748651,1767229202431,True,True
3800412159,87809.23000000,0.00011000,5723748652,5723748652,1767229202431,True,True
3800412160,87809.24000000,0.00011000,5723748653,5723748653,1767229203438,False,True
3800412161,87809.24000000,2.50538000,5723748654,5723748752,1767229204045,False,True
3800412162,87809.25000000,0.08634000,5723748753,5723748772,1767229204046,False,True
3800412163,87809.25000000,0.31960000,5723748773,5723748788,1767229204046,False,True
3800412164,87809.25000000,0.01495000,5723748789,5723748789,1767229204048,False,True
3800412165,87809.25000000,0.77113000,5723748790,5723748838,1767229204049,False,True
3800412166,87809.25000000,0.42206000,5723748839,5723748843,1767229204049,False,True
3800412167,87809.26000000,0.34907000,5723748844,5723748848,1767229204049,False,True
3800412168,87809.26000000,0.00213000,5723748849,5723748870,1767229204053,False,True
3800412169,87809.28000000,0.00018000,5723748871,5723748873,1767229204053,False,True
3800412170,87809.29000000,0.05636000,5723748874,5723748882,1767229204053,False,True
3800412171,87809.72000000,0.00018000,5723748883,5723748885,1767229204053,False,True
3800412172,87809.73000000,0.24510000,5723748886,5723748890,1767229204053,False,True
3800412173,87809.74000000,0.00006000,5723748891,5723748891,1767229204053,False,True
3800412174,87810.23000000,0.00006000,5723748892,5723748892,1767229204053,False,True
3800412175,87810.67000000,0.03417000,5723748893,5723748893,1767229204053,False,True
3800412176,87811.11000000,0.00006000,5723748894,5723748894,1767229204053,False,True
3800412177,87812.74000000,0.00042000,5723748895,5723748901,1767229204053,False,True
3800412178,87813.00000000,0.00009000,5723748902,5723748902,1767229204053,False,True
3800412179,87813.17000000,0.00006000,5723748903,5723748903,1767229204053,False,True
3800412180,87813.59000000,0.01232000,5723748904,5723748909,1767229204053,False,True
3800412181,87814.97000000,0.00209000,5723748910,5723748910,1767229204059,True,True
