a,p,q,f,l,T,m,M
1850078574,2975.36000000,0.10000000,3402567102,3402567121,1767243600228,False,True
1850078575,2975.36000000,0.20000000,3402567122,3402567143,1767243600443,False,True
1850078576,2975.36000000,0.12800000,3402567144,3402567166,1767243600443,False,True
1850078577,2975.36000000,0.80000000,3402567167,3402567168,1767243600446,False,True
1850078578,2975.36000000,2.45860000,3402567169,3402567201,1767243600446,False,True
1850078579,2975.37000000,1.20140000,3402567202,3402567208,1767243600446,False,True
1850078580,2975.37000000,9.02660000,3402567209,3402567242,1767243600446,False,True
1850078581,2975.37000000,1.47200000,3402567243,3402567246,1767243600446,False,True
1850078582,2975.37000000,2.92580000,3402567247,3402567264,1767243600447,False,True
1850078583,2975.38000000,0.15160000,3402567265,3402567267,1767243600447,False,True
1850078584,2975.39000000,0.00360000,3402567268,3402567269,1767243600447,False,True
1850078585,2975.40000000,0.01020000,3402567270,3402567273,1767243600447,False,True
1850078586,2975.41000000,0.00520000,3402567274,3402567276,1767243600447,False,True
1850078587,2975.42000000,0.00530000,3402567277,3402567279,1767243600447,False,True
1850078588,2975.43000000,0.00180000,3402567280,3402567280,1767243600447,False,True
1850078589,2975.44000000,0.00180000,3402567281,3402567281,1767243600447,False,True
1850078590,2975.45000000,0.01780000,3402567282,3402567283,1767243600447,False,True
1850078591,2975.46000000,0.00540000,3402567284,3402567286,1767243600447,False,True
1850078592,2975.48000000,0.00180000,3402567287,3402567287,1767243600447,False,True
1850078593,2975.51000000,0.00540000,3402567288,3402567290,1767243600447,False,True
1850078594,2975.52000000,0.14170000,3402567291,3402567291,1767243600447,False,True
1850078595,2975.52000000,0.10000000,3402567292,3402567292,1767243600448,False,True
1850078596,2975.52000000,0.46600000,3402567293,3402567298,1767243600452,False,True
1850078597,2975.52000000,0.46600000,3402567299,3402567304,1767243600452,False,True
1850078598,2975.52000000,0.04130000,3402567305,3402567323,1767243600452,False,True
1850078599,2975.53000000,0.01620000,3402567324,3402567332,1767243600452,False,True
1850078600,2975.55000000,0.03280000,3402567333,3402567334,1767243600452,False,True
1850078601,2975.56000000,0.00170000,3402567335,3402567335,1767243600452,False,True
1850078602,2975.60000000,0.05300000,3402567336,3402567360,1767243600457,False,True
1850078603,2975.61000000,0.01620000,3402567361,3402567369,1767243600457,False,True
1850078604,2975.62000000,0.00540000,3402567370,3402567372,1767243600457,False,True
1850078605,2975.63000000,0.34810000,3402567373,3402567379,1767243600458,False,True
1850078606,2975.65000000,0.00540000,3402567380,3402567382,1767243600458,False,True
1850078607,2975.66000000,0.05640000,3402567383,3402567385,1767243600458,False,True
1850078608,2975.70000000,0.01060000,3402567386,3402567391,1767243600458,False,True
1850078609,2975.71000000,0.00180000,3402567392,3402567392,1767243600458,False,True
1850078610,2975.74000000,0.00520000,3402567393,3402567395,1767243600458,False,True
1850078611,2975.76000000,0.00180000,3402567396,3402567396,1767243600458,False,True
1850078612,2975.77000000,0.03670000,3402567397,3402567398,1767243600458,False,True
1850078613,2975.77000000,0.05410000,3402567399,3402567403,1767243600459,False,True
1850078614,2975.80000000,0.00720000,3402567404,3402567407,1767243600459,False,True
1850078615,2975.81000000,0.10520000,3402567408,3402567411,1767243600459,False,True
1850078616,2975.83000000,0.01340000,3402567412,3402567412,1767243600459,False,True
1850078617,2975.84000000,0.00710000,3402567413,3402567416,1767243600459,False,True
1850078618,2975.85000000,0.27900000,3402567417,3402567418,1767243600459,False,True
1850078619,2975.85000000,0.37400000,3402567419,3402567419,1767243600460,False,True
1850078620,2975.85000000,0.38660000,3402567420,3402567424,1767243600461,False,True
1850078621,2975.88000000,0.07920000,3402567425,3402567428,1767243600461,False,True
1850078622,2975.89000000,0.00020000,3402567429,3402567429,1767243600461,False,True
1850078623,2975.88000000,0.12340000,3402567430,3402567430,1767243600462,True,True
1850078624,2975.88000000,0.12340000,3402567431,3402567431,1767243600462,True,True
1850078625,2975.88000000,0.12340000,3402567432,3402567432,1767243600462,True,True
1850078626,2975.88000000,0.12340000,3402567433,3402567433,1767243600462,True,True
1850078627,2975.88000000,0.03310000,3402567434,3402567434,1767243600462,True,True
1850078628,2975.89000000,0.26880000,3402567435,3402567444,1767243600465,False,True
1850078629,2975.89000000,0.40320000,3402567445,3402567445,1767243600465,False,True
1850078630,2975.89000000,0.50400000,3402567446,3402567446,1767243600465,False,True
1850078631,2975.88000000,0.20160000,3402567447,3402567447,1767243600465,True,True
1850078632,2975.89000000,0.26880000,3402567448,3402567448,1767243600466,False,True
1850078633,2975.89000000,0.10000000,3402567449,3402567449,1767243600466,False,True
1850078634,2975.88000000,0.20160000,3402567450,3402567450,1767243600467,True,True
1850078635,2975.89000000,0.46600000,3402567451,3402567451,1767243600471,False,True
1850078636,2975.89000000,0.19990000,3402567452,3402567452,1767243600482,False,True
1850078637,2975.89000000,0.34000000,3402567453,3402567459,1767243600504,False,True
1850078638,2975.89000000,0.04570000,3402567460,3402567460,1767243600903,False,True
1850078639,2975.88000000,16.83500000,3402567461,3402567469,1767243600941,True,True
1850078640,2975.88000000,0.00470000,3402567470,3402567470,1767243601092,True,True
1850078641,2975.89000000,0.00880000,3402567471,3402567471,1767243602507,False,True
1850078642,2975.88000000,0.01420000,3402567472,3402567473,1767243606011,True,True
1850078643,2975.88000000,0.00520000,3402567474,3402567474,1767243607302,True,True
1850078644,2975.89000000,0.03620000,3402567475,3402567475,1767243609114,False,True
1850078645,2975.88000000,0.00290000,3402567476,3402567476,1767243609965,True,True
1850078646,2975.89000000,0.01360000,3402567477,3402567477,1767243611979,False,True
1850078647,2975.88000000,0.01680000,3402567478,3402567478,1767243612007,True,True
1850078648,2975.89000000,0.06700000,3402567479,3402567505,1767243616471,False,True
1850078649,2975.89000000,0.30000000,3402567506,3402567515,1767243616538,False,True
1850078650,2975.89000000,0.08490000,3402567516,3402567535,1767243619029,False,True
1850078651,2975.88000000,0.10210000,3402567536,3402567536,1767243619726,True,True
1850078652,2975.88000000,0.16800000,3402567537,3402567537,1767243620130,True,True
1850078653,2975.89000000,0.06700000,3402567538,3402567538,1767243620769,False,True
1850078654,2975.89000000,0.10390000,3402567539,3402567559,1767243620784,False,True
1850078655,2975.88000000,0.00330000,3402567560,3402567560,1767243621085,True,True
1850078656,2975.88000000,0.00690000,3402567561,3402567561,1767243622336,True,True
1850078657,2975.89000000,0.06700000,3402567562,3402567590,1767243622622,False,True
1850078658,2975.89000000,0.01810000,3402567591,3402567595,1767243622739,False,True
1850078659,2975.89000000,0.01680000,3402567596,3402567596,1767243622878,False,True
1850078660,2975.89000000,0.10000000,3402567597,3402567597,1767243623025,False,True
1850078661,2975.89000000,0.11860000,3402567598,3402567632,1767243623028,False,True
1850078662,2975.89000000,0.00170000,3402567633,3402567633,1767243623029,False,True
1850078663,2975.90000000,0.02160000,3402567634,3402567645,1767243623029,False,True
1850078664,2975.91000000,0.00180000,3402567646,3402567646,1767243623029,False,True
1850078665,2975.92000000,0.00700000,3402567647,3402567650,1767243623029,False,True
1850078666,2975.93000000,0.00680000,3402567651,3402567652,1767243623029,False,True
1850078667,2975.94000000,0.00520000,3402567653,3402567655,1767243623029,False,True
1850078668,2975.95000000,0.00360000,3402567656,3402567657,1767243623029,False,True
1850078669,2975.96000000,0.00180000,3402567658,3402567658,1767243623029,False,True
1850078670,2975.97000000,0.00180000,3402567659,3402567659,1767243623029,False,True
1850078671,2975.98000000,0.01670000,3402567660,3402567662,1767243623029,False,True
1850078672,2975.98000000,0.00280000,3402567663,3402567663,1767243623029,False,True
1850078673,2976.00000000,0.00370000,3402567664,3402567665,1767243623029,False,True
1850078674,2976.01000000,0.00520000,3402567666,3402567668,1767243623029,False,True
1850078675,2976.04000000,0.03100000,3402567669,3402567669,1767243623029,False,True
1850078676,2976.09000000,0.00340000,3402567670,3402567671,1767243623029,False,True
1850078677,2976.10000000,0.02600000,3402567672,3402567684,1767243623031,False,True
1850078678,2976.11000000,0.01980000,3402567685,3402567695,1767243623031,False,True
1850078679,2976.12000000,0.00600000,3402567696,3402567697,1767243623031,False,True
1850078680,2976.12000000,0.05370000,3402567698,3402567701,1767243623032,False,True
